,State,RegisteredUsers,AppOpens,Year,Quarter
409,rajasthan,16329494,511015109,2020,4
410,ladakh,64853,1232757,2020,4
411,punjab,5157868,71191183,2020,4
412,assam,3106153,49321814,2020,4
413,jharkhand,4917938,126310835,2020,4
414,odisha,8598751,270085293,2020,4
415,bihar,12889833,317056600,2020,4
416,kerala,6387169,91415273,2020,4
417,karnataka,22400182,935510690,2020,4
418,chandigarh,391402,6477974,2020,4
419,telangana,15927797,764614235,2020,4
420,himachal pradesh,1508766,22001148,2020,4
421,west bengal,15662093,291721919,2020,4
422,gujarat,13605203,230497353,2020,4
423,sikkim,148543,2478670,2020,4
424,nagaland,192188,2922121,2020,4
425,mizoram,78731,1096182,2020,4
426,chhattisgarh,4190601,109900467,2020,4
427,jammu & kashmir,1079022,16018751,2020,4
428,goa,527584,10991118,2020,4
429,arunachal pradesh,231292,4472667,2020,4
430,delhi,9747968,243433752,2020,4
431,uttarakhand,2596244,52564888,2020,4
432,puducherry,346279,7914507,2021,1
433,tamil nadu,16632608,348801714,2021,1
434,uttar pradesh,29482075,639718324,2021,1
435,madhya pradesh,14839427,482500276,2021,1
436,andhra pradesh,18363733,957709447,2021,1
437,tripura,439636,6009660,2021,1
438,lakshadweep,4577,47283,2021,1
439,manipur,312668,3709227,2021,1
440,maharashtra,37077537,1101976484,2021,1
441,dadra & nagar haveli & daman & diu,321396,7302462,2021,1
442,meghalaya,190869,2939026,2021,1
443,andaman & nicobar islands,57758,1004336,2021,1
444,haryana,9827905,266686683,2021,1
445,rajasthan,17661088,632535059,2021,1
446,ladakh,69919,1184204,2021,1
447,punjab,5568777,81052268,2021,1
448,assam,3358448,56752364,2021,1
449,jharkhand,5313049,141731331,2021,1
450,odisha,9233009,301315474,2021,1
451,bihar,13946288,355792608,2021,1
452,kerala,6936943,108918733,2021,1
453,karnataka,24095832,1084917385,2021,1
454,chandigarh,419998,7919533,2021,1
455,telangana,17149069,920040042,2021,1
456,himachal pradesh,1622951,24228094,2021,1
457,west bengal,16808799,316832674,2021,1
458,gujarat,14670126,264732874,2021,1
459,sikkim,160213,2795331,2021,1
460,nagaland,207808,2980581,2021,1
461,mizoram,85750,1193214,2021,1
462,chhattisgarh,4514551,124648704,2021,1
463,jammu & kashmir,1174818,18834009,2021,1
464,goa,570035,15467672,2021,1
465,arunachal pradesh,251240,4796708,2021,1
466,delhi,10467210,281201600,2021,1
467,uttarakhand,2802122,59282260,2021,1
468,puducherry,369961,5178916,2021,2
469,tamil nadu,17804542,343968474,2021,2
470,uttar pradesh,31651894,673598864,2021,2
471,madhya pradesh,15940935,727741649,2021,2
472,andhra pradesh,19620905,1044705436,2021,2
473,tripura,472153,9500881,2021,2
474,lakshadweep,4896,40301,2021,2
475,manipur,335409,7269002,2021,2
476,maharashtra,39664697,1208083592,2021,2
477,dadra & nagar haveli & daman & diu,344994,5062983,2021,2
478,meghalaya,205686,7290804,2021,2
479,andaman & nicobar islands,62095,2248223,2021,2
480,haryana,10530594,234052506,2021,2
481,rajasthan,18980985,1072091232,2021,2
482,ladakh,75048,4391632,2021,2
483,punjab,5976548,85894089,2021,2
484,assam,3617056,102003890,2021,2
485,jharkhand,5701503,184234107,2021,2
486,odisha,9891029,367576494,2021,2
487,bihar,14972134,371198660,2021,2
488,kerala,7416083,87814415,2021,2
489,karnataka,25751023,1051089714,2021,2
490,chandigarh,448572,4733924,2021,2
491,telangana,18306880,905317692,2021,2
492,himachal pradesh,1743151,43269977,2021,2
493,west bengal,17979979,275341466,2021,2
494,gujarat,15735981,282432543,2021,2
495,sikkim,171740,4541121,2021,2
496,nagaland,223337,6716892,2021,2
497,mizoram,92552,4014597,2021,2
498,chhattisgarh,4837055,205784717,2021,2
499,jammu & kashmir,1261267,34274559,2021,2
500,goa,609106,12710361,2021,2
501,arunachal pradesh,270572,13025849,2021,2
502,delhi,11182699,164997774,2021,2
503,uttarakhand,3004040,78380036,2021,2
504,puducherry,396609,6899592,2021,3
505,tamil nadu,19127440,459826734,2021,3
506,uttar pradesh,34151882,803890116,2021,3
507,madhya pradesh,17210233,929572924,2021,3
508,andhra pradesh,21059898,1258536879,2021,3
509,tripura,509929,12279146,2021,3
510,lakshadweep,5287,49127,2021,3
511,manipur,361749,9743772,2021,3
512,maharashtra,42581217,1565370852,2021,3
513,dadra & nagar haveli & daman & diu,371874,7162734,2021,3
514,meghalaya,223065,9952956,2021,3
515,andaman & nicobar islands,66982,3121625,2021,3
516,haryana,11325336,296884105,2021,3
517,rajasthan,20499465,1429553825,2021,3
518,ladakh,81210,7099550,2021,3
519,punjab,6434862,107614155,2021,3
520,assam,3918480,135288631,2021,3
521,jharkhand,6151843,230475998,2021,3
522,odisha,10652490,492879704,2021,3
523,bihar,16160771,421801379,2021,3
524,kerala,7949425,116282717,2021,3
525,karnataka,27614221,1366781087,2021,3
526,chandigarh,480463,6378807,2021,3
527,telangana,19615278,1107529197,2021,3
528,himachal pradesh,1880626,52970288,2021,3
529,west bengal,19323278,348588666,2021,3
530,gujarat,16946761,379987151,2021,3
531,sikkim,184693,5714565,2021,3
532,nagaland,241797,8661991,2021,3
533,mizoram,100647,5385718,2021,3
534,chhattisgarh,5206084,276486076,2021,3
535,jammu & kashmir,1359860,45025197,2021,3
536,goa,653458,16575111,2021,3
537,arunachal pradesh,293073,17209654,2021,3
538,delhi,11980061,223844376,2021,3
539,uttarakhand,3233509,90886530,2021,3
540,puducherry,423167,14257568,2021,4
541,tamil nadu,20433142,685861440,2021,4
542,uttar pradesh,36617655,1175923794,2021,4
543,madhya pradesh,18456243,956630781,2021,4
544,andhra pradesh,22489029,1447717601,2021,4
545,tripura,546292,10728702,2021,4
546,lakshadweep,5638,67320,2021,4
547,manipur,387746,7603294,2021,4
548,maharashtra,45482506,2031739248,2021,4
549,dadra & nagar haveli & daman & diu,398963,15009455,2021,4
550,meghalaya,240268,6048594,2021,4
551,andaman & nicobar islands,71780,2112910,2021,4
552,haryana,12116439,442176987,2021,4
553,rajasthan,21977202,1185124031,2021,4
554,ladakh,87057,2665203,2021,4
555,punjab,6880103,138427499,2021,4
556,assam,4209591,130600435,2021,4
557,jharkhand,6596196,284960009,2021,4
558,odisha,11399235,567351446,2021,4
559,bihar,17335981,647400838,2021,4
560,kerala,8473810,213542857,2021,4
561,karnataka,29459646,1941558513,2021,4
562,chandigarh,512092,11603954,2021,4
563,telangana,20917649,1407599392,2021,4
564,himachal pradesh,2013747,47670982,2021,4
565,west bengal,20644527,512335839,2021,4
566,gujarat,18139201,487846209,2021,4
567,sikkim,197407,5525552,2021,4
568,nagaland,259990,6383337,2021,4
569,mizoram,108405,2094118,2021,4
570,chhattisgarh,5565481,251752583,2021,4
571,jammu & kashmir,1456810,36012148,2021,4
572,goa,697178,28288254,2021,4
573,arunachal pradesh,314944,11230295,2021,4
574,delhi,12785127,345669353,2021,4
575,uttarakhand,3460015,110928354,2021,4
576,puducherry,448051,3938657,2022,1
577,tamil nadu,21667020,638490275,2022,1
578,uttar pradesh,38999692,836926025,2022,1
579,madhya pradesh,19656147,1678266475,2022,1
580,andhra pradesh,23857951,1254785973,2022,1
581,tripura,582124,19322963,2022,1
582,lakshadweep,5990,45410,2022,1
583,manipur,411900,22637747,2022,1
584,maharashtra,48227630,2157769514,2022,1
585,dadra & nagar haveli & daman & diu,424570,3910792,2022,1
586,meghalaya,255839,23634106,2022,1
587,andaman & nicobar islands,76288,3847407,2022,1
588,haryana,12866988,217228467,2022,1
589,rajasthan,23398857,2570606469,2022,1
590,ladakh,92492,8902080,2022,1
591,punjab,7302726,117482807,2022,1
592,assam,4492589,281642453,2022,1
593,jharkhand,7025275,331355981,2022,1
594,odisha,12124779,613855465,2022,1
595,bihar,18484658,316991599,2022,1
596,kerala,8972299,94047893,2022,1
597,karnataka,31200349,1727054045,2022,1
598,chandigarh,541549,2321685,2022,1
599,telangana,22150612,1168864524,2022,1
600,himachal pradesh,2143483,77278278,2022,1
601,west bengal,21919787,236131065,2022,1
602,gujarat,19265314,521776939,2022,1
603,sikkim,209616,12440193,2022,1
604,nagaland,276483,24206053,2022,1
605,mizoram,115295,14886657,2022,1
606,chhattisgarh,5916961,448503438,2022,1
607,jammu & kashmir,1549320,62115857,2022,1
608,goa,738628,18678798,2022,1
609,arunachal pradesh,335339,41418559,2022,1
610,delhi,13539197,57524153,2022,1
611,uttarakhand,3674829,115224382,2022,1
612,puducherry,471663,3830290,2022,2
613,tamil nadu,22829720,740265406,2022,2
614,uttar pradesh,41247289,947480495,2022,2
615,madhya pradesh,20766417,1902866132,2022,2
616,andhra pradesh,25157264,1378736856,2022,2
617,tripura,615782,21343111,2022,2
618,lakshadweep,6327,38450,2022,2
619,manipur,434563,26236900,2022,2
620,maharashtra,50802786,2492946019,2022,2
621,dadra & nagar haveli & daman & diu,449016,3886292,2022,2
622,meghalaya,269943,27458992,2022,2
